Configuration,runsMean6,Total6,totalMean6,runsMean300,Total300,totalMean300,runsMean600,Total600,totalMean600,runsMean900,Total900,totalMean900
(1;1),0.00028098000000000006,90.656551774,1.8131310354799999,0.9361240200000002,148.742964792,2.97485929584,12.519785779999998,717.651902795,14.353038055899999,28.787015359999995,1532.801481915,30.6560296383
(1;4),0.00041236000000000007,89.695065402,1.79390130804,0.24978821999999998,106.848200231,2.1369640046200002,2.16175176,199.324295508,3.9864859101600003,7.421324840000003,464.969332337,9.29938664674
(2;4),0.03710612,96.584389284,1.9316877856799999,0.32007668,118.886793381,2.37773586762,2.3423461799999994,207.456001514,4.14912003028,7.623913260000003,481.766331642,9.63532663284
(4;4),0.025947840000000007,93.184069265,1.8636813853,0.5229088600000001,123.38198856,2.4676397712,2.36518004,207.960550552,4.15921101104,9.75781306,583.254720232,11.66509440464
(3;9),0.04788152000000001,95.851999511,1.9170399902200002,0.18698452000000004,104.882483898,2.0976496779600002,1.1866422800000003,148.652154348,2.97304308696,3.641225060000001,286.260022447,5.72520044894
(2;9)*,nan,nan,nan,0.18560845999999998,105.276722801,2.10553445602,1.2296335,151.15821402,3.0231642804,3.72283044,279.73419024,5.5946838048
(2;9)*,nan,nan,nan,0.19824941999999995,107.834298004,2.15668596008,1.2081903200000002,151.383794971,3.0276758994199997,3.626134319999999,277.540426595,5.5508085319
(2;16),nan,nan,nan,0.15497861999999998,117.049022382,2.3409804476400002,0.7866142000000003,129.655527292,2.5931105458399997,2.2933467199999993,205.393001801,4.10786003602
(4;16),nan,nan,nan,0.43121307999999997,116.941212329,2.3388242465799998,2.28697222,207.926442192,4.15852884384,4.964487839999999,348.166069361,6.96332138722
(8;16),nan,nan,nan,0.50021122,126.122353344,2.52244706688,5.59203036,371.534434056,7.43068868112,5.569938660000002,371.266418448,7.425328368960001
(4;25)*,nan,nan,nan,nan,nan,nan,2.7240791800000004,227.905120979,4.55810241958,2.74214446,234.463490827,4.6892698165399995
(5;25),nan,nan,nan,nan,nan,nan,4.8240693199999995,335.987721278,6.71975442556,4.874064639999999,334.687104803,6.69374209606
(6;36),nan,nan,nan,nan,nan,nan,3.596459699999999,280.000215788,5.60000431576,5.6643094,376.074027763,7.52148055526
(5;36)*,nan,nan,nan,nan,nan,nan,6.58087076,426.600109956,8.532002199119999,6.60842844,432.76011188,8.655202237600001
