Configuration,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50,TotalTime
g900m1p4,7.241423,7.284108,7.344937,7.339014,7.348999,7.459598,7.490537,7.481255,7.573374,7.384047,7.410599,7.385052,7.440025,7.371141,7.367995,7.395928,7.373439,7.376581,7.368213,7.397118,7.431615,7.405083,7.381662,7.389488,7.464301,7.468773,7.455592,7.386828,7.377160,7.394256,7.428749,7.447117,7.390745,7.415612,7.422357,7.353710,7.420314,7.437449,7.457288,7.450876,7.454466,7.468703,7.430407,7.393470,7.414952,7.410882,7.769745,7.432542,7.577374,7.501343,464.969332337
g900m2p4,7.665357,7.524516,7.643063,7.585537,7.532493,7.705790,7.676369,7.511182,7.682479,7.570529,7.541688,7.604532,7.621650,7.616362,7.708670,7.502276,7.563152,7.593214,7.688685,7.713565,7.676813,7.593944,7.637104,7.667328,7.697243,7.606434,7.521000,7.540242,7.594203,7.584585,7.583203,7.620088,7.629983,7.607738,7.624296,7.505127,7.623133,7.849097,7.649186,7.655092,7.654488,7.585446,7.680093,7.624117,7.543538,7.657838,7.649859,7.633955,7.900686,7.548695,481.766331642
g900m4p4,9.836245,9.765594,9.741343,9.731129,9.725503,9.774754,9.730037,9.819084,9.679707,9.693101,9.674643,9.769796,9.773321,9.703740,9.709965,9.681500,9.688367,9.720021,9.703649,9.784194,9.769764,9.758833,9.792906,9.767712,9.793861,9.731051,9.680128,9.774984,9.765146,9.759681,9.772870,9.758483,10.092609,9.756740,9.757580,9.759213,9.724692,9.740572,9.975204,9.692940,9.745348,9.749860,9.779005,9.782133,9.780403,9.724791,9.863656,9.740196,9.725190,9.669409,583.254720232
g900m3p9,3.624050,3.664867,3.644055,3.636498,3.637122,3.623175,3.638707,3.637764,3.624770,3.656879,3.632997,3.622173,3.623817,3.626570,3.641462,3.661297,3.622364,3.645946,3.637432,3.634811,3.632792,3.635542,3.632743,3.636122,3.643613,3.632848,3.635361,3.673304,3.664026,3.643370,3.637484,3.637250,3.630842,3.662093,3.649802,3.643146,3.650988,3.648703,3.642895,3.641331,3.633988,3.661743,3.652569,3.656130,3.640465,3.640060,3.640952,3.635624,3.635536,3.653175,286.260022447
g900m2p9u,3.709233,3.710587,3.700471,3.711557,3.691288,3.719908,3.812515,3.744788,3.699469,3.756298,3.737130,3.694204,3.690584,3.702869,3.689787,3.703320,3.740975,3.715427,3.706822,3.786719,3.697789,3.734732,3.756942,3.720483,3.731463,3.738369,3.707753,3.710834,3.691437,3.706198,3.728606,3.687938,3.723871,3.695581,3.714318,3.736155,3.722962,3.727565,3.702687,3.689666,3.712816,3.751756,3.730684,3.720438,3.754164,3.717691,3.785417,3.779041,3.707678,3.732537,279.734190240
g900m2p9u,3.524144,3.541502,3.545800,3.685557,3.541221,3.632747,3.577500,3.567374,3.596423,3.580603,3.560821,3.615467,3.582710,3.654610,3.571204,3.626888,3.558812,3.576365,3.600781,3.662346,3.575330,3.658396,3.564807,3.591906,3.562021,3.584032,3.563021,3.649014,3.603350,3.580980,3.646031,3.660974,3.639604,3.581001,3.596340,3.554616,3.568954,3.564413,4.735374,3.603829,3.724006,3.579118,3.595353,3.602210,3.637901,3.562983,3.697939,3.621491,3.699153,3.699694,277.540426595
g900m2p16,2.237423,2.244573,2.264851,2.464664,2.264682,2.257588,2.306625,2.255027,2.288656,2.245378,2.263557,2.250649,2.475077,2.273408,2.258308,2.349678,2.314971,2.339829,2.397275,2.271472,2.275805,2.272673,2.261259,2.301745,2.276123,2.498330,2.272456,2.253244,2.280183,2.307629,2.284094,2.253997,2.287219,2.252392,2.343068,2.270657,2.285113,2.301121,2.291647,2.290472,2.257968,2.256796,2.310781,2.290044,2.292576,2.281609,2.268785,2.280809,2.280350,2.264700,205.393001801
g900m4p16,4.848413,4.943048,5.067981,5.234611,5.033141,4.888966,4.920167,4.936264,4.907746,4.900964,4.957560,4.972731,4.955918,4.990992,4.948106,5.115252,5.091763,4.937879,4.940114,4.952436,4.895592,4.887925,4.955000,4.951158,4.917621,5.100124,5.063784,4.932517,4.904801,4.908220,4.948429,5.102539,4.918625,4.962854,4.959291,4.979109,4.952975,4.884113,4.916393,4.946171,4.937727,5.083389,4.950975,4.904606,4.979141,4.912519,4.943836,4.926279,5.035724,4.918903,348.166069361
g900m8p16,5.354407,5.644603,5.583610,5.721837,5.426880,5.496362,5.506761,5.478712,5.320349,5.617195,5.309930,5.645944,5.623872,5.484027,5.702122,5.496441,5.793183,5.910191,5.704249,5.817549,5.853979,5.836394,5.534062,5.240602,5.431520,5.687105,5.729656,5.641514,5.638628,5.818203,5.407330,5.551243,5.449574,5.701369,5.319357,5.407193,5.460961,5.786028,5.780581,5.610711,5.570108,5.535688,5.698095,5.307835,5.705375,5.452264,5.317141,5.555842,5.244418,5.585933,371.266418448
g900m4p25u,2.651234,2.626682,2.671138,2.659035,2.627714,2.817113,2.653395,2.685014,2.888181,2.657244,2.654394,2.861765,2.668937,3.051538,2.671098,2.945120,2.680296,2.665568,2.687549,2.682901,2.664285,2.790567,2.692123,2.675919,2.860121,2.818868,2.660361,2.642050,2.654495,2.638089,2.862520,2.664625,2.647863,2.642157,2.832015,2.632584,2.660895,2.666988,2.702241,2.809752,2.685623,3.026752,3.687781,2.894779,2.747337,2.658611,2.673542,2.636942,2.677369,2.694053,234.463490827
